,업종명,영업자시작일,업소명,소재지지번주소,lat,lng
245,일반음식점,2007-12-24,대박촌,광주광역시 동구 서석동 426-1 1층 ,35.1454306,126.9273901
246,휴게음식점,2008-01-21,해태문구사,광주광역시 동구 소태동 566-27 (1층) ,35.1264731,126.9320471
247,일반음식점,2008-01-28,열도지,광주광역시 동구 서석동 41-3 1층 ,35.1470991,126.9231321
248,일반음식점,2008-01-31,이가네한우방,광주광역시 동구 학동 739-3 (1층) ,35.1323876,126.9302636
249,일반음식점,2008-02-13,신복,광주광역시 동구 지산동 476-10 (1층) ,35.1454548,126.9299292
250,일반음식점,2008-03-11,변사또꼬치구이,광주광역시 동구 대인동 311-3 ,35.1546876,126.9161275
251,일반음식점,2008-03-12,소쇄원,광주광역시 동구 지산동 507-19 (1층) ,35.1446076,126.929735
252,일반음식점,2008-04-03,연님이네집,광주광역시 동구 충장로3가 9 (1층) ,35.1491388,126.9156381
253,일반음식점,2008-04-08,고흥나루터,광주광역시 동구 지산동 705-9 ,35.1517676,126.9363129
254,휴게음식점,2008-04-15,오가,광주광역시 동구 충장로5가 17-2 ,35.1516408,126.9114828
